[0.,0.]
[-1.187289  , 0.03154781]

-------------------END OF EPISODE-------------------
[0.9816157 ,0.19353378]

-------------------END OF EPISODE-------------------
[-2.2343752, 0.5085211]

-------------------END OF EPISODE-------------------
[-1.2094772 ,-0.47411922]

-------------------END OF EPISODE-------------------
[1.015984  ,0.01843764]

-------------------END OF EPISODE-------------------
[-0.3147618 , 0.14592777]

-------------------END OF EPISODE-------------------
[0.52623636,0.10204079]

-------------------END OF EPISODE-------------------
[-1.4060506 , 0.39233404]

-------------------END OF EPISODE-------------------
[-1.2820109 , 0.03097718]

-------------------END OF EPISODE-------------------
[-0.82994205, 2.4482403 ]

-------------------END OF EPISODE-------------------
[ 1.5863831 ,-0.11021615]

-------------------END OF EPISODE-------------------
[-1.062476 , 1.4946922]

-------------------END OF EPISODE-------------------
[1.366861 ,2.6740043]

-------------------END OF EPISODE-------------------
[ 0.07845465,-0.87720007]

-------------------END OF EPISODE-------------------
[1.7359095,0.0789086]

-------------------END OF EPISODE-------------------
[-0.9776665,-0.8165174]

-------------------END OF EPISODE-------------------
[-0.54369116, 0.42996758]

-------------------END OF EPISODE-------------------
[0.6848315,1.1066437]

-------------------END OF EPISODE-------------------
[-1.0402286 , 0.04309999]

-------------------END OF EPISODE-------------------
